number,value,datetime_start,datetime_complete,duration,params_birth_rate_young,params_death_old_base,params_emission_intensity,params_institutional_entropy_divisor,params_mat_base,params_mat_industry_coef,params_serv_base,params_serv_info_coef,params_war_prob,state
10,4.942447206608273,2026-07-05 21:23:32.081902,2026-07-05 21:23:33.016825,0 days 00:00:00.934923,0.06010124870699186,0.15445988771695107,3.9686806099745886e-05,75806356.59395272,0.038919120317338275,0.013801783020545254,0.025629808933238536,0.014255193761029659,0.02497318396751259,COMPLETE
11,4.774079844468799,2026-07-05 21:23:33.017257,2026-07-05 21:23:33.930199,0 days 00:00:00.912942,0.05737425087025646,0.14147010784148464,4.047475923597448e-05,67927149.1482162,0.0354925556976736,0.010116399170242537,0.02558692565695562,0.0072618186645327,0.006091452506982717,COMPLETE
12,4.719297941023424,2026-07-05 21:23:33.930588,2026-07-05 21:23:34.879768,0 days 00:00:00.949180,0.056662284651085595,0.1372578442574275,4.6625745580352016e-05,67484616.13037911,0.014695820957984223,0.012118282109748633,0.038931814211767043,0.004266667320701277,0.019071806133131315,COMPLETE
13,4.764727617347811,2026-07-05 21:23:34.880147,2026-07-05 21:23:35.823452,0 days 00:00:00.943305,0.053857773641693495,0.1251288179084109,5.436619465238605e-05,82733226.11881071,0.02494804470345101,0.0075680584771641276,0.026430733942031118,0.007207162097712814,0.0067081232344375205,COMPLETE
14,4.906708955015636,2026-07-05 21:23:35.823907,2026-07-05 21:23:36.873561,0 days 00:00:01.049654,0.0652433737415586,0.14509680548894732,3.0463100815368172e-05,53265973.614348,0.03344044024362742,0.011826535933063523,0.029242295168022563,0.004068507532324985,0.02234353781143118,COMPLETE
15,4.994515389227012,2026-07-05 21:23:36.873974,2026-07-05 21:23:37.849751,0 days 00:00:00.975777,0.0526083452928817,0.13304284693400298,6.371126654056147e-05,64484347.939702,0.02432782299592815,0.00789828688317788,0.023035184335486198,0.008270977420239897,0.03390629252627729,COMPLETE
16,5.072259402894597,2026-07-05 21:23:37.850163,2026-07-05 21:23:38.964953,0 days 00:00:01.114790,0.06250051428101366,0.14969873566871905,3.627570764041253e-05,76737646.02154122,0.016646901383086686,0.011733607790733912,0.03679078538965455,0.005701966975810213,0.012472343192949402,COMPLETE
17,5.079990610037645,2026-07-05 21:23:38.965368,2026-07-05 21:23:39.972443,0 days 00:00:01.007075,0.051732772499896246,0.11964943525856926,9.981457257839553e-05,45599587.22632748,0.02784103642955344,0.01471114009686816,0.028414933665662282,0.007405622066430144,0.03520566353077484,COMPLETE
18,4.73731255850867,2026-07-05 21:23:39.972865,2026-07-05 21:23:40.985114,0 days 00:00:01.012249,0.06687315385190676,0.120946238039758,2.8890503069213328e-05,87312978.66574903,0.03638525059971108,0.008290167479007335,0.023666107116281518,0.009059848297619702,0.011004301824718817,COMPLETE
19,5.249460003144342,2026-07-05 21:23:40.985538,2026-07-05 21:23:42.070924,0 days 00:00:01.085386,0.04216495646994379,0.14533070582712837,6.607672792791609e-05,74284127.49336228,0.022122153600427182,0.010763609282771718,0.03649866191864016,0.005184512552479588,0.023756061323162714,COMPLETE
